Rank,Country,Overall,Male,Female
1,Nagano,84.72,81.75,87.68
2,Shiga,84.68,81.78,87.57
3,Fukui,84.41,81.27,87.54
4,Kyoto,84.38,81.40,87.35
5,Kumamoto,84.36,81.22,87.49
6,Okayama,84.35,81.03,87.67
7,Nara,84.31,81.36,87.25
8,Kanagawa,84.28,81.32,87.24
9,Shimane,84.22,80.79,87.64
10,Hiroshima,84.21,81.08,87.33
11,Oita,84.20,81.08,87.31
12,Tokyo,84.17,81.07,87.26
13,Ishikawa,84.16,81.04,87.28
14,Miyagi,84.08,80.99,87.16
15,Yamanashi,84.04,80.85,87.22
16,Shizuoka,84.03,80.95,87.10
17,Kagawa,84.03,80.85,87.21
18,Toyama,84.02,80.61,87.42
19,Niigata,84.01,80.69,87.32
20,Hyōgo,84.00,80.92,87.07
21,Aichi,83.98,81.10,86.86
22,Chiba,83.94,80.96,86.91
23,Mie,83.93,80.86,86.99
24,Gifu,83.91,81.00,86.82
25,Fukuoka,83.90,80.66,87.14
26,Saga,83.89,80.65,87.12
27,Okinawa,83.86,80.27,87.44
28,Saitama,83.74,80.82,86.66
29,Yamagata,83.74,80.52,86.96
30,Gunma,83.73,80.61,86.84
31,Miyazaki,83.73,80.34,87.12
32,Tottori,83.72,80.17,87.27
33,Yamaguchi,83.70,80.51,86.88
34,Nagasaki,83.68,80.38,86.97
35,Kochi,83.64,80.26,87.01
36,Hokkaido,83.53,80.28,86.77
37,Tokushima,83.49,80.32,86.66
38,Ehime,83.49,80.16,86.82
39,Osaka,83.48,80.23,86.73
40,Kagoshima,83.40,80.02,86.78
41,Ibaraki,83.31,80.28,86.33
42,Fukushima,83.26,80.12,86.40
43,Wakayama,83.21,79.94,86.47
44,Tochigi,83.17,80.10,86.24
45,Iwate,83.15,79.86,86.44
46,Akita,82.95,79.51,86.38
47,Aomori,82.30,78.67,85.93
